 s/od:	     0	     1	     2	     3	     4	     5	     6	     7	     8	     9	    10	
   99:	 66.38	 64.91	 63.39	 61.83	 60.24	 58.60	 56.93	 55.22	 53.47	 51.68	 49.86	
  100:	 65.94	 64.47	 62.95	 61.40	 59.81	 58.18	 56.51	 54.81	 53.06	 51.28	 49.47	
  101:	 65.50	 64.03	 62.52	 60.97	 59.38	 57.76	 56.10	 54.40	 52.66	 50.89	 49.09	
  102:	 65.07	 63.60	 62.09	 60.55	 58.96	 57.34	 55.69	 54.00	 52.27	 50.51	 48.71	
  103:	 64.64	 63.17	 61.67	 60.13	 58.55	 56.93	 55.28	 53.60	 51.88	 50.12	 48.34	
  104:	 64.21	 62.75	 61.25	 59.71	 58.14	 56.53	 54.88	 53.20	 51.49	 49.75	 47.97	
  105:	 63.79	 62.33	 60.83	 59.30	 57.73	 56.13	 54.49	 52.82	 51.11	 49.37	 47.60	
  106:	 63.38	 61.92	 60.42	 58.89	 57.33	 55.73	 54.10	 52.43	 50.73	 49.01	 47.25	
  107:	 62.96	 61.51	 60.01	 58.49	 56.93	 55.34	 53.71	 52.05	 50.36	 48.64	 46.89	
  108:	 62.55	 61.10	 59.61	 58.09	 56.53	 54.95	 53.33	 51.68	 50.00	 48.28	 46.54	
  109:	 62.15	 60.70	 59.21	 57.70	 56.15	 54.56	 52.95	 51.31	 49.63	 47.93	 46.20	
  110:	 61.75	 60.30	 58.82	 57.30	 55.76	 54.19	 52.58	 50.94	 49.28	 47.58	 45.86	
  111:	 61.35	 59.90	 58.43	 56.92	 55.38	 53.81	 52.21	 50.58	 48.92	 47.23	 45.52	
  112:	 60.95	 59.51	 58.04	 56.54	 55.00	 53.44	 51.85	 50.22	 48.57	 46.89	 45.19	
  113:	 60.56	 59.13	 57.66	 56.16	 54.63	 53.07	 51.49	 49.87	 48.23	 46.56	 44.86	
  114:	 60.18	 58.74	 57.28	 55.79	 54.26	 52.71	 51.13	 49.52	 47.89	 46.22	 44.54	
  115:	 59.80	 58.37	 56.91	 55.42	 53.90	 52.35	 50.78	 49.18	 47.55	 45.90	 44.22	
  116:	 59.42	 57.99	 56.54	 55.05	 53.54	 52.00	 50.43	 48.84	 47.22	 45.57	 43.90	
  117:	 59.04	 57.62	 56.17	 54.69	 53.18	 51.65	 50.09	 48.50	 46.89	 45.25	 43.59	
  118:	 58.67	 57.25	 55.81	 54.33	 52.83	 51.30	 49.75	 48.17	 46.57	 44.94	 43.28	
  119:	 58.30	 56.89	 55.45	 53.98	 52.48	 50.96	 49.41	 47.84	 46.24	 44.62	 42.98	
